AgencyYr,revenueindex,rpKey,Agnc,Yr,fta_5307_op,fta_5307_prv,fta_5311_op,fta_5316_op,fta_other_op,fta_op_other_spec,st_op_rmg,st_op_regmg,st_op_sng,st_op_ste,st_op_stod,st_op_other,st_op_other_spec,fta_5307_cg,fta_5309_cg,fta_5310_cg,fta_5311_cg,fta_5316_cg,Fstp_grnt_cg,fed_other_grnt_cg,fta_cg_other_spec,st_cg_rmg,st_cg_sng,st_cg_regmg,st_cg_ste,st_ct_van,st_cg_other,st_cg_other_spec,sales_tax,utility_tax,mvet,other_ad,other_int,other_gain,other_rev,other_rev_spec,dec_res,inc_res,Comments,expense_key,rpKey,Agnc,Yr,interest,principal,local_cap,deprec,Otra_exp_num,gen_fund,unrest_cash,oper_res,work_cap,cap_res_fund,cont_res,debt_ser_fund,insur_fund,other_balace,Comments,rpKey,Agnc,Yr,rvh_do_fixed,rvh_do_light,rvh_do_route,rvh_do_demand,rvh_do_van,rvh_do_CB,rvh_do_RB,rvh_do_SR,rvh_do_TB,rvh_pt_fixed,rvh_pt_ferry,rvh_pt_com,rvh_pt_light,rvh_pt_route,rvh_pt_demand,rvh_pt_CB,rvh_pt_RB,rvh_pt_DT,rvh_pt_SR,rvh_pt_TB,tvh_do_fixed,tvh_do_light,tvh_do_route,tvh_do_demand,tvh_do_van,tvh_do_CB,tvh_do_RB,tvh_do_SR,tvh_do_TB,tvh_pt_fixed,tvh_pt_ferry,tvh_pt_com,tvh_pt_light,tvh_pt_route,tvh_pt_demand,tvh_pt_CB,tvh_pt_RB,tvh_pt_DT,tvh_pt_SR,tvh_pt_TB,rvm_do_fixed,rvm_do_light,rvm_do_route,rvm_do_demand,rvm_do_van,rvm_do_CB,rvm_do_RB,rvm_do_SR,rvm_do_TB,rvm_pt_fixed,rvm_pt_ferry,rvm_pt_com,rvm_pt_light,rvm_pt_route,rvm_pt_demand,rvm_pt_CB,rvm_pt_RB,rvm_pt_DT,rvm_pt_SR,rvm_pt_TB,tvm_do_fixed,tvm_do_light,tvm_do_route,tvm_do_demand,tvm_do_van,tvm_do_CB,tvm_do_RB,tvm_do_SR,tvm_do_TB,tvm_pt_fixed,tvm_pt_ferry,tvm_pt_com,tvm_pt_light,tvm_pt_route,tvm_pt_demand,tvm_pt_CB,tvm_pt_RB,tvm_pt_DT,tvm_pt_SR,tvm_pt_TB,psgr_do_fixed,psgr_do_light,psgr_do_route,psgr_do_demand,psgr_do_van,psgr_do_CB,psgr_do_RB,psgr_do_SR,psgr_do_TB,psgr_pt_fixed,psgr_pt_ferry,psgr_pt_com,psgr_pt_light,psgr_pt_route,psgr_pt_demand,psgr_pt_CB,psgr_pt_RB,psgr_pt_DT,psgr_pt_SR,psgr_pt_TB,dfc_do_fixed,dfc_do_route,dfc_do_demand,dfc_do_van,dfc_do_CB,dfc_do_RB,dfc_pt_fixed,dfc_pt_ferry,dfc_pt_com,dfc_pt_route,dfc_pt_demand,dfc_pt_CB,dfc_pt_RB,dfc_pt_DT,pfc_do_fixed,pfc_do_route,pfc_do_demand,pfc_do_van,pfc_do_CB,pfc_do_RB,pfc_pt_fixed,pfc_pt_route,pfc_pt_demand,pfc_pt_CB,pfc_pt_RB,pfc_pt_DT,gfc_do_fixed,gfc_do_route,gfc_do_demand,gfc_do_van,gfc_do_CB,gfc_do_RB,gfc_pt_fixed,gfc_pt_route,gfc_pt_demand,gfc_pt_CB,gfc_pt_RB,gfc_pt_DT,elc_do_fixed,elc_do_light,elc_do_SR,elc_do_TB,elc_pt_fixed,elc_pt_light,elc_pt_SR,elc_pt_TB,cng_do_fixed,cng_do_route,cng_do_demand,cng_do_CB,cng_do_RB,cng_pt_fixed,cng_pt_route,cng_pt_demand,cng_pt_CB,cng_pt_RB,fte_do_fixed,fte_do_light,fte_do_route,fte_do_demand,fte_do_van,fte_do_CB,fte_do_RB,fte_do_SR,fte_do_TB,fte_pt_fixed,fte_pt_ferry,fte_pt_com,fte_pt_light,fte_pt_route,fte_pt_demand,fte_pt_CB,fte_pt_RB,fte_pt_DT,fte_pt_SR,fte_pt_TB,oex_do_fixed,oex_do_light,oex_do_route,oex_do_demand,oex_do_van,oex_do_CB,oex_do_RB,oex_do_SR,oex_do_TB,oex_pt_fixed,oex_pt_ferry,oex_pt_com,oex_pt_light,oex_pt_route,oex_pt_demand,oex_pt_CB,oex_pt_RB,oex_pt_DT,oex_pt_SR,oex_pt_TB,rev_do_fixed,rev_do_light,rev_do_route,rev_do_demand,rev_do_van,rev_do_CB,rev_do_RB,rev_do_SR,rev_do_TB,rev_pt_fixed,rev_pt_ferry,rev_pt_com,rev_pt_light,rev_pt_route,rev_pt_demand,rev_pt_CB,rev_pt_RB,rev_pt_DT,rev_pt_SR,rev_pt_TB,Comments
11,11,{33BB9C31-E388-4B4A-989C-B2DCE5295C88},garfield,2017,0,0,0,0,0,0,139047,0,14958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49435,0,0,0,0,11437,donations from riders and other non-profits,0,0,,46,{33BB9C31-E388-4B4A-989C-B2DCE5295C88},garfield,2017,0,0,0,0,0,72362,0,0,0,0,0,0,0,0,,{33BB9C31-E388-4B4A-989C-B2DCE5295C88},garfield,2017,0,0,0,1978,0,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15478,0,35347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17129,0,35684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6593,0,3093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1787,0,3759,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100550,0,67034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,0,6077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Was 1780 updated to 1978 per Jeff Ruckert 8/9/18
12,12,{4FBACB9F-9291-4629-AC22-8074E4294B4A},grant,2017,0,0,99104,0,0,0,0,78389,182219,0,0,2500,Risk Management Grant,0,0,0,226671,0,0,0,0,0,0,790590,0,0,0,0,4060932,0,0,0,55639,0,5898,0,2421401,0,,51,{4FBACB9F-9291-4629-AC22-8074E4294B4A},grant,2017,0,0,0,711517,0,0,520742,1500000,250000,750000,0,0,0,0,,{4FBACB9F-9291-4629-AC22-8074E4294B4A},grant,2017,0,0,36788,0,4112,4504,0,0,0,0,0,0,0,0,9410,0,0,0,0,0,0,0,42530,0,4112,5612,0,0,0,0,0,0,0,0,13290,0,0,0,0,0,0,0,949935,0,245104,113490,0,0,0,0,0,0,0,0,136393,0,0,0,0,0,0,0,1011700,0,245104,125568,0,0,0,0,0,0,0,0,180627,0,0,0,0,0,0,0,183126,0,37429,29432,0,0,0,0,0,0,0,0,21278,0,0,0,0,0,0,131560,0,0,16742,0,0,0,0,0,0,0,0,0,0,5005,0,0,0,0,0,0,0,0,0,0,0,0,0,15139,0,0,0.0,0,25752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,2644433,0,50384,346295,0,0,0,0,0,0,0,0,777472,0,0,0,0,0,0,0,117138,0,100373,29284,0,0,0,0,0,0,0,0,17799,0,0,0,0,0,
13,13,{8AF7205C-58F4-49EC-A227-606D1DD0DBC0},grays,2017,0,0,449696,0,0,0,0,0,256975,1320177,0,0,0,0,0,65747,0,0,0,0,0,0,0,0,0,0,0,0,7591882,0,0,25493,51406,0,49312,"Recoveries, Misc.",0,1850000,,56,{8AF7205C-58F4-49EC-A227-606D1DD0DBC0},grays,2017,0,2665,320128,780653,209756,1346765,5300000,1040000,0,0,0,0,166373,0,,{8AF7205C-58F4-49EC-A227-606D1DD0DBC0},grays,2017,40010,0,0,26810,10828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49481,0,0,26810,10828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037526,0,0,349795,339065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090862,0,0,349795,342455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732681,0,0,67076,87060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165215,0,14803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31253,19366,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4532856,0,0,2549731,132204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276886,0,0,155749,121704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,14,{B7657C8B-3313-4427-8E40-AF616677B99C},intercity,2017,3146289,0,0,0,0,0,0,642111,639614,0,0,0,0,1735822,0,0,0,0,0,1225000,S 5339,0,0,0,0,0,0,0,38680923,0,0,390047,57444,169593,126863,0,0,0,,61,{B7657C8B-3313-4427-8E40-AF616677B99C},intercity,2017,0,0,1585714,4813412,174965,0,55006325,0,0,0,0,0,0,0,,{B7657C8B-3313-4427-8E40-AF616677B99C},intercity,2017,183795,0,0,76921,80872,20873,0,0,0,0,0,0,0,0,0,934,0,0,0,0,190895,0,0,84498,80872,20873,0,0,0,0,0,0,0,0,0,1257,0,0,0,0,2341333,0,0,963497,2938498,516499,0,0,0,0,0,0,0,0,0,25190,0,0,0,0,2476814,0,0,1077154,3091274,560843,0,0,0,0,0,0,0,0,0,45171,0,0,0,0,3761602,0,0,175596,550202,162560,0,0,0,0,0,0,0,0,0,9450,0,0,0,0,483797,0,107765,0,120942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5191,183614,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.31,0.0,0.0,87.8,9.6,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23309754,0,0,9717186,1646017,2750422,0,0,0,0,0,0,0,0,0,210409,0,0,0,0,2316371,0,0,273955,1434951,219148,0,0,0,0,0,0,0,0,0,31696,0,0,0,0,
15,15,{4A0B1849-82A6-472A-B2EF-25551B268B28},island,2017,0,0,280612,0,11335,Federal 5310 for mobility manager.,204057,579142,557313,2071367,0,0,0,0,0,510537,633889,0,0,4208,Federal 5339 money for buses.,0,0,0,0,0,17066,Net of Direct State Appropriation for Parker Road improvement reduced by an increased match for a VIP grant.,10640136,0,0,0,71575,0,129029,"Fuel tax refunds $123,029, WSTIP grant $6,000.",0,3349384,,66,{4A0B1849-82A6-472A-B2EF-25551B268B28},island,2017,4471,646794,360364,1758214,0,4117221,0,1800000,0,3823560,0,0,0,0,,{4A0B1849-82A6-472A-B2EF-25551B268B28},island,2017,34048,0,9534,26571,37260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46224,0,12656,31201,37260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043032,0,237589,362720,937820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115237,0,264785,446441,943573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492504,0,76178,58399,182128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136439,51237,7962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7621,2862,39056,56148,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.0,0.0,17.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5695928,0,2212819,3137072,677636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22168,0,0,0,441509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,16,{15937E04-B303-4715-A383-515E1FF6A1D5},Jamestown SKlallam Tribe,2017,0,0,0,0,0,0,84660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,70,{15937E04-B303-4715-A383-515E1FF6A1D5},Jamestown SKlallam Tribe,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,{15937E04-B303-4715-A383-515E1FF6A1D5},Jamestown SKlallam Tribe,2017,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,84660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,17,{3C942FAA-8257-418C-8E9C-3C58418AE281},jefferson,2017,0,0,1128841,0,0,0,17248,0,20514,243578,0,0,0,0,0,0,274619,0,4230,0,0,0,0,641135,0,0,0,0,4668937,0,0,0,37293,514,14902,0,0,2040280,,71,{3C942FAA-8257-418C-8E9C-3C58418AE281},jefferson,2017,19696,605000,579561,630506,0,0,1558401,1300000,0,3677984,0,115116,0,0,,{3C942FAA-8257-418C-8E9C-3C58418AE281},jefferson,2017,15310,0,4696,5063,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15616,0,4790,5674,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420459,0,146064,55009,59594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449345,0,148378,65129,65009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224035,0,15779,11097,8930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83278,11407,3331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3535,2295,3611,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0.0,2.78,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2845372,0,418360,788858,40798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136230,0,4288,10178,33391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,18,{4D1E5D89-7E69-4A6C-B560-AE7AE8BB7010},Kalispel Tribe of Indians,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,76,{4D1E5D89-7E69-4A6C-B560-AE7AE8BB7010},Kalispel Tribe of Indians,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,{4D1E5D89-7E69-4A6C-B560-AE7AE8BB7010},Kalispel Tribe of Indians,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,19,{A6ACEB69-0CA4-468D-AE98-BF4C7EFE05F0},king,2017,0,24454557,0,80302,1099847,"FTA Clean Fuels Program (5308), Other USDOT Grants (88 P.L111-68 Transit Investment for Greenhouse gas and energy, Highways and local programs and 70 Ferry Boat Construction), Other Federal Funds (Homeland Security and Special Programs for the Aging Title IV and Title II Discretionary)",0,4014370,0,0,0,5481106,Interlocal Grants (CTR),12255314,870798,0,0,0,0,31914198,0,0,0,0,0,0,2000639,0,591088207,24907083,0,6350757,22446955,0,98036099,"South Lake Union Streetcar reimbursement, Alaskan Way Viaduct mitigation payments, ORCA card fees, Revenues accrued through a Purchased Transportation Agreement with a NTD reporting agency",0,0,,78,{A6ACEB69-0CA4-468D-AE98-BF4C7EFE05F0},king,2017,3321722,11730963,120504103,132307494,0,0,0,0,0,0,0,2033076,0,572734155,,{A6ACEB69-0CA4-468D-AE98-BF4C7EFE05F0},king,2017,2974921,0,0,0,563263,0,0,40280,463444,0,0,0,0,72713,635259,0,0,39114,0,0,3392311,0,0,0,563263,0,0,41629,482638,0,0,0,0,82250,733952,0,0,39114,0,0,32853414,0,0,0,15199378,0,0,193810,3130521,0,0,0,0,964917,7802103,0,0,1411445,0,0,41850492,0,0,0,15199378,0,0,197192,3282487,0,0,0,0,1203342,9322733,0,0,1411445,0,0,101129569,0,0,0,3626422,0,0,1417507,19339147,0,0,0,0,883578,854155,0,0,103861,0,0,11291210,0,0,0,0,0,0,0,0,31018,394740,0,0,0,354133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,918055,0,0,0.0,134518,434053,0,0,0,268318,0,917390,16731727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2504.6,0.0,0.0,0.0,28.6,0.0,0.0,54.6,358.6,0.0,0.0,0.0,0.0,5.1,612.8,0.0,0.0,0.0,0.0,0.0,517526935,0,0,0,9713077,0,0,9738638,70853737,0,0,0,0,10443329,63879758,0,0,1220980,0,0,139520130,0,0,0,7622086,0,0,1368135,22808461,0,0,0,0,1109846,863495,0,0,412732,0,0,
24,20,{11F848C3-F2FD-439A-B9BB-A1B54AD0FBFC},kitsap,2017,0,0,0,0,0,0,0,0,0,0,0,82735,0,3341842,92908,0,0,0,0,573234,Ferry Boat Discretionary Funds,0,0,1595717,0,0,0,0,47844901,0,0,118826,311652,85781,478466,"Parking Lot Fees 173,511 Chr(13)(10)Rental and Lease Income 304,955",0,0,,83,{11F848C3-F2FD-439A-B9BB-A1B54AD0FBFC},kitsap,2017,375163,716125,0,1199536,0,0,19447298,0,0,47763494,700000,1035713,0,310357,,{11F848C3-F2FD-439A-B9BB-A1B54AD0FBFC},kitsap,2017,129811,0,0,84383,27762,0,0,0,0,0,7133,0,0,0,0,0,0,585,0,0,154861,0,0,96207,27762,0,0,0,0,0,7387,0,0,0,0,0,0,585,0,0,2137370,0,0,1207912,879730,0,0,0,0,0,72061,0,0,0,0,0,0,12171,0,0,2618680,0,0,1357581,879730,0,0,0,0,0,73944,0,0,0,0,0,0,12171,0,0,2533304,0,0,283463,179883,0,0,0,0,0,616667,0,0,0,0,0,0,1999,0,0,493124,0,91028,4338,0,0,0,130571,0,0,0,0,0,0,0,0,104305,0,0,0,0,0,0,0,0,0,0,0,1437,53970,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.0,0.0,0.0,88.0,4.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21414295,0,0,11151773,1135665,0,0,0,0,0,5013250,0,0,0,0,0,0,60845,0,0,4023907,0,0,266329,505729,0,0,0,0,0,999755,0,0,0,0,0,0,0,0,0,
25,21,{35B58874-773D-4984-ADA8-48D5D0CED729},link,2017,2195750,0,362500,0,137451,Section 5310 Special Needs,0,624000,328706,0,0,0,0,0,0,130910,0,0,0,2500000,ARRA TIGGER,0,0,0,0,0,0,0,11910262,0,0,2975,147317,0,75697,"Building Lease - $70,266; ATM Fees - $1,312; Cleaning Contract - $960; Jury Duty Reimb - $47; Restitution - $36; Recycling - $58; Copy Fees - $18; WSTIP Grant - $3,000",0,1241000,,88,{35B58874-773D-4984-ADA8-48D5D0CED729},link,2017,0,0,1472052,2330145,0,3767338,5993568,0,0,3602004,1600000,0,0,0,,{35B58874-773D-4984-ADA8-48D5D0CED729},link,2017,71808,0,11884,17950,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,77175,0,12773,19164,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,1449283,0,294013,218127,0,0,0,0,0,0,0,0,0,0,4093,0,0,0,0,0,1571995,0,317751,251720,0,0,0,0,0,0,0,0,0,0,7212,0,0,0,0,0,885715,0,65980,52156,0,0,0,0,0,0,0,0,0,0,2739,0,0,0,0,0,190565,39848,0,0,0,0,0,0,0,0,0,0,0,0,48783,10276,24472,0,0,0,0,0,0,0,0,0,0,9221,6796,0,0,0,0.0,0,601,0,0,0,166005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2,0.0,12.8,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9058868,0,1499253,1978139,0,0,0,0,0,0,0,0,0,0,54648,0,0,0,0,0,558306,0,41378,34591,0,0,0,0,0,0,0,0,0,0,888,0,0,0,0,0,
26,22,{D38F1153-40A5-4479-926B-DEBD84D050A2},Lummi Nation,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,93,{D38F1153-40A5-4479-926B-DEBD84D050A2},Lummi Nation,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,{D38F1153-40A5-4479-926B-DEBD84D050A2},Lummi Nation,2017,5735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6482,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,23,{3FFBA2D0-8FC6-4DEA-BC1E-6E68DC16F5FA},Makah Nation,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,94,{3FFBA2D0-8FC6-4DEA-BC1E-6E68DC16F5FA},Makah Nation,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,{3FFBA2D0-8FC6-4DEA-BC1E-6E68DC16F5FA},Makah Nation,2017,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,24,{6E262E66-C745-4533-A501-FEDB45398AF3},mason,2017,0,0,985964,0,14943,Special Programs for the Aging Title 3 Part B,396993,194390,443845,1086513,0,14157,Older Americans Act Title 3B,0,48832,0,0,0,0,0,0,0,0,1969765,0,0,0,0,4258175,0,0,22555,47796,28202,206140,0,0,500000,,97,{6E262E66-C745-4533-A501-FEDB45398AF3},mason,2017,0,0,748069,1347296,0,0,2984451,2000000,0,315560,0,0,0,1642877,,{6E262E66-C745-4533-A501-FEDB45398AF3},mason,2017,0,0,31895,23179,3421,3715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32042,29619,3421,3715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630529,347292,152542,112828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637877,392886,152542,112828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410537,45710,25743,25755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91321,45660,0,15220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9683,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,32.5,16.5,0.35,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3918388,2208080,64111,701163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270508,0,73306,19539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
