,Status,County Name,Jurisdiction,CTR Identification Code,Organization Name,Worksite Name,Survey_Cycle,Survey Close Date,Survey Iteration,Key,Survey Purpose,Expansion Factor,Sampling Worksite? ,Response Rate,Total Employees,Expanded Surveys Distributed,Expanded Surveys Returned,"VMT/
Employee",Goal VMT,Total VMT,Total Goal VMT,NDAT Rate,Goal NDAT Rate (Worksite only),Total Goal NDAT Trips,Total Annual Greenhouse Gas Emissions -  All Employees (Metric Tons CO2e),Daily Roundtrip GHG Per Employee (Pounds),GHGforAgg (Pounds),Total Weekly Trips,Weekly Drive Alone Trips,Weekly Carpool Trips,Weekly Vanpool Trips,Weekly 1-Motorcycle Trips,Weekly 2-Motorcycle Trips,Weekly Bus Trips,Weekly Train/Lightrail/Street Car Trips,Weekly Bike Trips,Weekly Walk Trips,Weekly Telework Trips,Weekly CWW Days,Weekly Overnight Business Trip,Weekly Did Not Work,Weekly Used Ferry as Walk-on Passenager,Weekly Boarded Ferry with Car/Bus/Van,Weekly Other Trips,Alone Share,Carpool Share,Van Share,Motorcycle Share,Bus Share,Train Share,Bike Share,Walk Share,Tele Share,CWW Share,Used Ferry Share,Boarded Ferry Share,Other Share,Baseline,Error: Difference between Weekly Trips and Summed Weekly Trips:this column is the difference,sumcolumn,calculated percent,summedcol
13,Affected,Thurston,City of Olympia,E10538,Group Health ,Group Health Cooperative,2017/2018,2017-06-16 00:00:00,M6,E10538M6,CTR,1,,76.2589928057554,417,417,318,13.2,0,4197.6,0,0.1,0,0,1124.5,25.8269845536168,8212.98108805013,1464.0,1301.0,32.0,8.0,9.0,0.0,26.0,0.0,23.0,26.0,7.0,8.0,0,45,0.0,0.0,24.0,0.89,0.02,0.01,0.01,0.02,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.02,,,0.98,0.02,
14,Affected,Thurston,City of Lacey,E10629,WA State Dept. of Social and Health Services,Blake Office Park East,2017/2018,2017-06-04 00:00:00,M6,E10629M6,CTR,1,,70.6642066420664,542,542,383,15.6,0,5974.8,0,0.16,0,0,1779.8,30.5364889149769,11695.4752544362,1816.0,1519.0,95.0,65.0,6.0,0.0,6.0,0.0,18.0,5.0,63.0,18.0,13,69,0.0,1.0,20.0,0.84,0.05,0.04,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.01,,,0.99,0.01,
15,Affected,Thurston,City of Olympia,E10652,WA State Office of the Attorney General,Office of Attorney General,2017/2018,2017-06-09 00:00:00,M6,E10652M6,CTR,1,,81.9047619047619,105,105,86,13.5,0,1161,0,0.14,0,0,305.4,26.4488250956848,2274.59895822889,417.0,360.0,9.0,13.0,0.0,0.0,4.0,0.0,6.0,9.0,11.0,4.0,4,12,0.0,0.0,1.0,0.86,0.02,0.03,0.0,0.01,0.0,0.01,0.02,0.03,0.01,0.0,0.0,0.0,,,1.0,0.0,
16,Affected,Thurston,City of Lacey,E10660,WA State Gambling Commission,,2017/2018,2017-07-14 00:00:00,M6,E10660M6,CTR,1,,62,50,50,31,12.4,0,384.4,0,0.17,0,0,129.7,24.2852771732438,752.843592370559,146.0,121.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0,7,0.0,1.0,0.0,0.83,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.01,0.0,,,1.0,0.0,
17,Affected,Thurston,City of Olympia,E10728,WA State Dept. of Social and Health Services,DSHS-ACES,2017/2018,2017-05-26 00:00:00,M6,E10728M6,CTR,1,,67.2985781990521,211,211,142,15.5,0,2201,0,0.29,0,0,697.2,30.3794852112224,4313.88689999358,681.0,479.0,72.0,44.0,2.0,0.0,13.0,0.0,8.0,0.0,52.0,10.0,1,19,0.0,0.0,1.0,0.7,0.11,0.06,0.0,0.02,0.0,0.01,0.0,0.08,0.01,0.0,0.0,0.0,,,1.0,0.0,
18,Affected,Thurston,City of Tumwater,E10793,WA State Dept. of Social and Health Services,DSHS - Olympia Community Services Office,2017/2018,2017-06-22 00:00:00,M6,E10793M6,CTR,1,,71.09375,256,256,182,13,0,2366,0,0.16,0,0,730.2,25.4611382053469,4633.92715337314,899.0,755.0,91.0,0.0,3.0,0.0,14.0,0.0,5.0,6.0,11.0,3.0,0,14,0.0,2.0,9.0,0.84,0.1,0.0,0.0,0.02,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,,,0.99,0.01,
19,Affected,Thurston,City of Tumwater,E10819,WA State Office of the Insurance Commissioner,Main Office,2017/2018,2017-05-14 00:00:00,M6,E10819M6,CTR,1,,82.7777777777778,181,180,149,14.6,0,2175.4,0,0.15,0,0,572.8,28.5983216691108,4261.1499286975,727.0,606.0,29.0,30.0,10.0,0.0,14.0,0.0,3.0,0.0,29.0,6.0,0,13,0.0,0.0,0.0,0.83,0.04,0.04,0.01,0.02,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,,,1.0,0.0,
20,Affected,Thurston,Unincorporated Thurston County,E10835,WA State Dept. of Transportation,Olympic Region - Tumwater PEO,2017/2018,2017-06-15 00:00:00,M6,E10835M6,CTR,1,,90.4761904761905,21,21,19,13.8,0,262.2,0,0.04,0,0,65,27.0110013462302,513.209025578373,96.0,91.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0,0.95,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,,,1.0,0.0,
21,Affected,Thurston,Unincorporated Thurston County,E10850,WA State Dept. of Transportation,Lacey PEO,2017/2018,2017-06-15 00:00:00,M6,E10850M6,CTR,1,,91.4285714285714,35,35,32,15.9,0,508.8,0,0.04,0,0,125,31.1057865255732,995.385168818342,162.0,155.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,3,0.0,0.0,1.0,0.96,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,,,0.99,0.01,
22,Affected,Thurston,City of Tumwater,E10892,WA State Dept. of Revenue,Dept. of Revenue,2017/2018,2017-06-27 00:00:00,M6,E10892M6,CTR,1,,72.051282051282,390,390,281,15.6,0,4383.6,0,0.2,0,0,1191.5,30.5759084684201,8591.83027962605,1238.0,982.0,99.0,36.0,3.0,0.0,27.0,0.0,9.0,14.0,13.0,26.0,0,142,0.0,0.0,29.0,0.79,0.08,0.03,0.0,0.02,0.0,0.01,0.01,0.01,0.02,0.0,0.0,0.02,,,0.98,0.02,
23,Voluntary,Thurston,City of Olympia,E10942,Thurston Regional Planning Council,,2017/2018,2017-05-29 00:00:00,M6,E10942M6,CTR,1,,100,17,17,17,5.4,0,91.8,0,0.22,0,0,21.1,10.5721675640909,179.726848589545,88.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,1.0,0.0,0,1,0.0,0.0,0.0,0.78,0.01,0.0,0.0,0.0,0.0,0.14,0.06,0.01,0.0,0.0,0.0,0.0,,,1.0,0.0,
24,Affected,Thurston,City of Olympia,E10975,WA State Office of Financial Management,General Administration Building,2017/2018,2017-07-14 00:00:00,M6,E10975M6,CTR,1,,71.4285714285714,63,63,45,7.9,0,355.5,0,0.41,0,0,105.1,15.4676793966622,696.0455728498,214.0,124.0,32.0,0.0,3.0,0.0,13.0,0.0,12.0,11.0,17.0,2.0,4,5,0.0,0.0,0.0,0.58,0.15,0.0,0.01,0.06,0.0,0.06,0.05,0.08,0.01,0.0,0.0,0.0,,,1.0,0.0,
25,Affected,Thurston,City of Olympia,E10983,WA State Dept. of Enterprise Services,,2017/2018,2017-06-22 00:00:00,M6,E10983M6,CTR,1,,69.1358024691358,324,324,224,12.2,0,2732.8,0,0.29,0,0,833.9,23.9137658287883,5356.68354564858,1063.0,753.0,92.0,31.0,3.0,0.0,22.0,0.0,43.0,20.0,62.0,26.0,9,30,0.0,2.0,9.0,0.71,0.09,0.03,0.0,0.02,0.0,0.04,0.02,0.06,0.02,0.0,0.0,0.01,,,0.99,0.01,
26,Affected,Thurston,City of Olympia,E10991,WA State Consolidated Technology Services,,2017/2018,2017-06-28 00:00:00,M6,E10991M6,CTR,1,,67.4603174603175,504,504,340,13,0,4420,0,0.3,0,0,1399.6,25.4779521100153,8662.50371740522,1634.0,1128.0,146.0,74.0,13.0,0.0,72.0,0.0,57.0,24.0,57.0,46.0,1,47,0.0,3.0,14.0,0.69,0.09,0.05,0.01,0.04,0.0,0.03,0.01,0.03,0.03,0.0,0.0,0.01,,,0.99,0.01,
27,Affected,Thurston,City of Tumwater,E11007,WA State Dept. of Labor & Industries,Dept. of Labor & Industries,2017/2018,2018-06-15 00:00:00,M6,E11007M6,CTR,1,,40.2692091979809,1971,1783,718,12.5,0,8975,0,0.31,0,0,5263,24.4673758312465,17567.575846835,3455.0,2365.0,579.0,197.0,11.0,1.0,71.0,0.0,17.0,33.0,102.0,43.0,6,65,0.0,0.0,36.0,0.68,0.17,0.06,0.0,0.02,0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.01,,,0.99,0.01,
28,Affected,Thurston,City of Tumwater,E11049,City of Tumwater,City Hall Campus,2017/2018,2017-06-02 00:00:00,M6,E11049M6,CTR,1,,71.1111111111111,180,180,128,10.9,0,1395.2,0,0.17,0,0,396.4,21.3189990548321,2728.83187901851,583.0,483.0,63.0,0.0,2.0,0.0,8.0,0.0,2.0,5.0,2.0,9.0,5,22,0.0,0.0,9.0,0.83,0.11,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.02,,,0.98,0.02,
29,Affected,Thurston,City of Lacey,E11056,City of Lacey,City of Lacey,2017/2018,2017-06-12 00:00:00,M6,E11056M6,CTR,1,,67.3228346456693,254,254,171,11.7,0,2000.7,0,0.06,0,0,644.1,22.8977849452291,3915.52122563418,835.0,772.0,24.0,4.0,14.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0,16,0.0,2.0,0.0,0.92,0.03,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
30,Affected,Thurston,City of Olympia,E11080,Columbia Capital Medical Center,Capital Medical Center,2017/2018,2017-08-25 00:00:00,M6,E11080M6,CTR,1,,74.0566037735849,406,212,157,17.9,0,2810.3,0,0.06,0,0,1481.5,35.0838328277374,5508.16175395477,720.0,675.0,19.0,0.0,1.0,0.0,5.0,0.0,4.0,13.0,0.0,3.0,2,38,0.0,0.0,0.0,0.94,0.03,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
31,Affected,Thurston,City of Olympia,E11221,WA State Utilities and Transportation Commission,Utilities and Transportation Commission,2017/2018,2017-06-13 00:00:00,M6,E11221M6,CTR,1,,86.3354037267081,161,161,139,12.4,0,1723.6,0,0.22,0,0,406.1,24.26871246068,3373.35103203452,637.0,481.0,62.0,10.0,13.0,1.0,6.0,0.0,4.0,6.0,17.0,6.0,5,25,0.0,0.0,31.0,0.76,0.1,0.02,0.02,0.01,0.0,0.01,0.01,0.03,0.01,0.0,0.0,0.05,,,0.95,0.05,
32,Affected,Thurston,City of Olympia,E11270,WA State Dept. of Licensing,Dept. of Licensing,2017/2018,2017-06-27 00:00:00,M6,E11270M6,CTR,1,,89.3258426966292,356,356,318,13.5,0,4293,0,0.22,0,0,1007.4,26.4163853105741,8400.41052876255,1502.0,1169.0,130.0,6.0,2.0,0.0,13.0,0.0,24.0,14.0,67.0,28.0,7,58,0.0,0.0,49.0,0.78,0.09,0.0,0.0,0.01,0.0,0.02,0.01,0.04,0.02,0.0,0.0,0.03,,,0.97,0.03,
33,Affected,Thurston,City of Olympia,E11288,WA State Dept. of Licensing,Dept. of Licensing,2017/2018,2017-06-27 00:00:00,M6,E11288M6,CTR,1,,94.4444444444444,36,36,34,12.9,0,438.6,0,0.15,0,0,101.9,25.2583846866799,858.785079347116,168.0,141.0,0.0,0.0,2.0,0.0,8.0,0.0,9.0,0.0,1.0,5.0,0,2,0.0,0.0,2.0,0.84,0.0,0.0,0.01,0.05,0.0,0.05,0.0,0.01,0.03,0.0,0.0,0.01,,,0.99,0.01,
34,Affected,Thurston,City of Tumwater,E11296,WA State Dept. of Transportation,WSDOT - Olympic Region,2017/2018,2017-06-15 00:00:00,M6,E11296M6,CTR,1,,90,230,230,207,16.4,0,3394.8,0,0.16,0,0,745.4,32.082280495731,6641.03206261632,922.0,766.0,78.0,4.0,5.0,0.0,0.0,0.0,11.0,0.0,18.0,31.0,0,36,0.0,0.0,9.0,0.83,0.08,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.03,0.0,0.0,0.01,,,0.99,0.01,
35,Affected,Thurston,City of Tumwater,E11304,WA State Dept. of Transportation,WSDOT - Mat's Lab,2017/2018,2017-05-29 00:00:00,M6,E11304M6,CTR,1,,88.0733944954129,109,109,96,12.3,0,1180.8,0,0.15,0,0,282.8,24.0837190511251,2312.03702890801,456.0,374.0,28.0,7.0,12.0,0.0,3.0,0.0,3.0,5.0,7.0,14.0,5,10,0.0,2.0,1.0,0.82,0.06,0.02,0.03,0.01,0.0,0.01,0.01,0.02,0.03,0.0,0.0,0.0,,,1.0,0.0,
36,Affected,Thurston,City of Olympia,E11312,Providence Health Systems,St. Peter Hospital,2017/2018,2017-06-15 00:00:00,M6,E11312M6,CTR,1,,72.5118483412322,1500,844,612,14.7,0,8996.4,0,0.12,0,0,4455.6,28.7603153974465,17601.3130232373,2787.0,2434.0,126.0,1.0,11.0,0.0,29.0,4.0,50.0,37.0,50.0,23.0,1,226,0.0,0.0,22.0,0.87,0.05,0.0,0.0,0.01,0.0,0.02,0.01,0.02,0.01,0.0,0.0,0.01,,,0.99,0.01,
37,Affected,Thurston,City of Lacey,E11361,WA State Dept. of Ecology,Dept. of Ecology - Headquarters,2017/2018,2017-07-14 00:00:00,M6,E11361M6,CTR,1,,62.1111111111111,900,900,559,11,0,6149,0,0.28,0,0,2026.9,21.548647515176,12045.6939609834,2576.0,1838.0,242.0,65.0,26.0,0.0,66.0,2.0,174.0,3.0,91.0,48.0,49,118,0.0,0.0,21.0,0.71,0.09,0.03,0.01,0.03,0.0,0.07,0.0,0.04,0.02,0.0,0.0,0.01,,,0.99,0.01,
38,Affected,Thurston,City of Olympia,E11403,Intercity Transit,Intercity Transit,2017/2018,2017-06-12 00:00:00,M6,E11403M6,CTR,1,,82.0754716981132,318,318,261,10.5,0,2740.5,0,0.19,0,0,738.5,20.5423840911476,5361.56224778952,1301.0,1027.0,135.0,32.0,27.0,0.0,15.0,0.0,39.0,14.0,2.0,6.0,0,30,0.0,0.0,4.0,0.79,0.1,0.02,0.02,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
39,Affected,Thurston,City of Olympia,E11411,Thurston County,Thurston County,2017/2018,2017-06-22 00:00:00,M6,E11411M6,CTR,1,,72.3897911832947,562,431,312,13,0,4056,0,0.17,0,0,1525,25.44616055222,7939.20209229264,1467.0,1208.0,119.0,23.0,14.0,0.0,11.0,0.0,20.0,25.0,6.0,19.0,0,51,0.0,0.0,22.0,0.82,0.08,0.02,0.01,0.01,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.01,,,0.99,0.01,
40,Affected,Thurston,City of Lacey,E11445,Twin Star Credit Union,,2017/2018,2017-06-16 00:00:00,M6,E11445M6,CTR,1,,56.8862275449102,167,167,95,17.1,0,1624.5,0,0.05,0,0,627.7,33.4985230639648,3182.35969107666,470.0,442.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3,7,0.0,0.0,0.0,0.94,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
41,Affected,Thurston,City of Tumwater,E11452,WA State Dept. of Transportation,Edna L Goodrich Building,2017/2018,2017-05-29 00:00:00,M6,E11452M6,CTR,1,,69.0537084398977,391,391,270,10.8,0,2916,0,0.29,0,0,864.5,21.1590360625036,5712.93973687597,1244.0,879.0,176.0,15.0,9.0,0.0,16.0,0.0,35.0,3.0,46.0,56.0,13,42,0.0,0.0,9.0,0.71,0.14,0.01,0.01,0.01,0.0,0.03,0.0,0.04,0.05,0.0,0.0,0.01,,,0.99,0.01,
42,Affected,Thurston,City of Tumwater,E11460,WA State Dept. of Corrections,Edna L Goodrich Building,2017/2018,2017-05-02 00:00:00,M6,E11460M6,CTR,1,,77.6,500,500,388,18.1,0,7022.8,0,0.14,0,0,1929.1,35.4107242176373,13739.3609964433,1864.0,1587.0,116.0,49.0,10.0,0.0,42.0,0.0,4.0,9.0,16.0,25.0,4,27,0.0,0.0,6.0,0.85,0.06,0.03,0.01,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,,,1.0,0.0,
43,Affected,Thurston,City of Tumwater,E11478,WA State Office of the Attorney General,,2017/2018,2017-06-09 00:00:00,M6,E11478M6,CTR,1,,78.6549707602339,342,342,269,14,0,3766,0,0.13,0,0,1044.1,27.3905699524377,7368.06331720575,1322.0,1140.0,74.0,11.0,8.0,0.0,16.0,3.0,6.0,9.0,26.0,16.0,3,21,0.0,0.0,13.0,0.86,0.06,0.01,0.01,0.01,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.01,,,0.99,0.01,
44,Affected,Thurston,City of Tumwater,E11502,Office of State Auditor,,2017/2018,2017-05-08 00:00:00,M6,E11502M6,CTR,1,,72.6666666666667,150,150,109,12.9,0,1406.1,0,0.2,0,0,403.1,25.2750132329545,2754.97644239204,511.0,407.0,38.0,6.0,1.0,0.0,9.0,0.0,0.0,9.0,23.0,13.0,6,23,0.0,0.0,5.0,0.8,0.07,0.01,0.0,0.02,0.0,0.0,0.02,0.05,0.03,0.0,0.0,0.01,,,0.99,0.01,
45,Affected,Thurston,City of Olympia,E11593,Washington State University,Cherry Street Building & Town Square,2017/2018,2017-05-02 00:00:00,M6,E11593M6,CTR,1,,96,31,25,24,12.4,0,297.6,0,0.18,0,0,82.4,24.2483965145273,581.961516348654,116.0,95.0,7.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,7.0,0.0,0,4,0.0,0.0,0.0,0.82,0.06,0.0,0.0,0.02,0.0,0.03,0.01,0.06,0.0,0.0,0.0,0.0,,,1.0,0.0,
46,Affected,Thurston,City of Olympia,E11619,WA State Dept. of Labor & Industries,,2017/2018,2018-06-15 00:00:00,M6,E11619M6,CTR,1,,19.047619047619,22,21,4,7.7,0,30.8,0,0.3,0,0,37.4,14.991433816,59.965735264,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
47,Affected,Thurston,City of Olympia,E11627,Workforce Training,,2017/2018,2017-06-12 00:00:00,M6,E11627M6,CTR,1,,96.2962962962963,27,27,26,13,0,338,0,0.28,0,0,73.7,25.4411193281783,661.469102532635,123.0,89.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,1.0,0.0,4,2,0.0,0.0,6.0,0.72,0.08,0.0,0.0,0.08,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.05,,,0.95,0.05,
48,Affected,Thurston,City of Lacey,E11635,WA State Conservation Commission,Department of Ecology Bldg,2017/2018,2017-06-12 00:00:00,M6,E11635M6,CTR,1,,71.4285714285714,14,14,10,7.3,0,73,0,0.09,0,0,19.5,14.2824389003322,142.824389003322,43.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.91,0.02,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
